0:0:0:0:0:0:0:1 - - [14/Jan/2017:22:19:35 +0530] "GET /ShoppingCartProject/Resource/images2/28.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2017:22:19:35 +0530] "GET /ShoppingCartProject/Resource/images2/31.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2017:22:19:35 +0530] "GET /ShoppingCartProject/Resource/images2/32.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2017:22:19:35 +0530] "GET /ShoppingCartProject/Resource/images2/33.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2017:22:19:35 +0530] "GET /ShoppingCartProject/Resource/images2/34.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2017:22:19:35 +0530] "GET /ShoppingCartProject/Resource/images2/36.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2017:22:19:35 +0530] "GET /ShoppingCartProject/Resource/images2/37.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2017:22:19:35 +0530] "GET /ShoppingCartProject/Resource/images2/40.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2017:22:19:35 +0530] "GET /ShoppingCartProject/Resource/images2/41.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2017:22:19:35 +0530] "GET /ShoppingCartProject/Resource/images2/38.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2017:22:19:35 +0530] "GET /ShoppingCartProject/Resource/images2/42.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2017:22:19:35 +0530] "GET /ShoppingCartProject/Resource/images2/43.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2017:22:19:35 +0530] "GET /ShoppingCartProject/Resource/images2/4.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2017:22:19:35 +0530] "GET /ShoppingCartProject/Resource/images2/5.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2017:22:19:35 +0530] "GET /ShoppingCartProject/Resource/images2/6.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2017:22:19:35 +0530] "GET /ShoppingCartProject/Resource/images2/46.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2017:22:19:35 +0530] "GET /ShoppingCartProject/Resource/images2/7.png HTTP/1.1" 304 -
